rating_percent,C,D,E,F,G,H,I,J
1,1,1,1,1,2,2,2,2
2,1,2,2,2,3,3,4,4
3,2,2,3,3,4,5,5,6
4,3,3,4,4,5,6,7,8
5,3,4,4,5,6,7,8,9
6,4,5,5,6,7,8,9,11
7,5,5,6,7,8,10,11,12
8,6,6,7,8,9,11,12,14
9,6,7,8,9,11,12,14,15
10,7,8,9,10,12,13,15,16
11,7,9,10,11,13,14,16,18
12,8,10,11,12,14,16,17,19
13,9,10,12,13,15,17,18,20
14,10,11,13,14,16,18,20,22
15,11,12,14,15,17,19,21,23
16,11,13,14,16,18,20,22,24
17,12,14,15,17,19,21,23,26
18,13,15,16,18,20,22,24,27
19,14,15,17,19,21,24,26,28
20,15,16,18,20,22,25,27,29
21,16,17,19,21,23,26,28,31
22,16,18,20,22,24,27,29,32
23,17,19,21,23,26,28,31,33
24,18,20,22,24,27,29,32,34
25,18,21,23,25,28,30,33,36
26,19,22,24,26,29,31,34,37
27,20,23,25,27,30,33,35,38
28,21,24,26,28,31,34,36,39
29,22,24,27,29,32,35,37,40
30,23,25,28,30,33,36,38,41
31,24,26,29,31,34,37,40,43
32,25,27,30,32,35,38,41,44
33,25,28,30,33,36,39,42,45
34,26,29,31,34,37,40,43,46
35,27,30,32,35,38,41,44,47
36,28,31,33,36,39,42,45,48
37,29,32,34,37,40,43,46,49
38,30,32,35,38,41,44,47,50
39,31,33,36,39,42,45,48,51
40,32,34,37,40,43,46,49,52
41,33,35,38,41,44,47,50,54
42,34,36,39,42,45,48,51,55
43,35,37,40,43,46,49,52,56
44,36,38,41,44,47,50,53,57
45,36,39,42,45,48,51,54,58
46,37,40,43,46,49,52,55,59
47,38,41,44,47,50,53,56,60
48,39,42,45,48,51,54,57,61
49,40,43,46,49,52,55,58,62
50,41,44,47,50,53,56,59,62
51,42,45,48,51,54,57,60,64
52,43,46,49,52,55,58,61,65
53,44,47,50,53,56,59,62,66
54,45,48,51,54,57,60,63,66
55,46,49,52,55,58,61,64,67
56,47,50,53,56,59,62,65,68
57,48,51,54,57,60,63,66,69
58,49,52,55,58,61,64,67,70
59,50,53,56,59,62,65,68,71
60,51,54,57,60,63,66,69,72
61,52,55,58,61,64,67,69,72
62,53,56,59,62,65,68,70,73
63,54,57,60,63,66,69,71,74
64,55,58,61,64,67,69,72,75
65,56,59,62,65,68,70,73,76
66,57,60,63,66,69,71,74,77
67,58,61,64,67,70,72,75,77
68,59,62,65,68,71,73,76,78
69,60,63,66,69,71,74,76,79
70,61,64,67,70,72,75,77,80
71,62,65,68,71,73,76,78,81
72,63,66,69,72,74,77,79,82
73,64,67,70,73,75,78,80,83
74,65,68,71,74,76,79,81,84
75,66,69,72,75,77,80,82,85
76,68,70,73,76,78,80,82,84
77,69,71,74,77,79,81,83,85
78,70,72,75,78,80,82,84,86
79,71,74,76,79,81,83,84,86
80,72,75,77,80,82,83,85,87
81,73,76,78,81,83,84,86,88
82,74,77,79,82,84,85,87,88
83,76,78,81,83,84,86,87,89
84,77,79,82,84,85,87,88,90
85,78,81,83,85,86,88,89,90
86,79,82,84,86,87,89,90,91
87,80,83,85,87,88,90,91,91
88,81,84,86,88,89,91,92,92
89,82,85,87,89,90,92,93,93
90,85,87,88,90,91,92,93,94
91,86,88,89,91,92,93,94,95
92,87,89,90,92,93,94,95,96
93,88,90,91,93,94,95,96,97
94,89,91,92,94,95,96,97,98
95,93,94,95,96,96,97,97,98
96,94,95,96,97,97,98,98,99
97,95,96,97,98,98,99,99,100
98,96,97,98,99,99,100,100,100
99,97,98,99,100,100,100,100,100
100,100,100,100,100,100,100,100,100
