group_number,occupation_title,industry
110," Psychologist, Clinical"," profess. & kin."
110," Account Exec"," business ser."
110," Cephalometric Analyst"," medical ser."
110," Director, Regulatory Agency"," government ser."
110," Drawings Checker, Engineering"," profess. & kin."
110," Psychologist, Counseling"," profess. & kin."
110," Director, Service"," retail trade"
110," Legislative Assistant"," government ser."
110," Grant Coordinator"," profess. & kin."
110," Clinical Psychologist"," profess. & kin."
110," Urban Planner"," profess. & kin."
110," Cardiac Monitor Technician"," medical ser."
110," Financial Planner"," profess. & kin."
110," Manager, Data Processing"," profess. & kin."
110," Manager, Benefits"," profess. & kin."
110," Director, Research & Development"," any industry"
110," Judge"," government ser."
110," Management Analyst"," profess. & kin."
110," Job Development Specialist"," profess. & kin."
110," Harbor Master"," government ser."
110," Consultant, Education"," education"
110," Counselor"," profess. & kin."
110," Manager, Department"," any industry"
110," Hearing Officer"," government ser."
110," Reports Analyst"," profess. & kin."
110," Appeals Referee"," government ser."
110," Voc Rehab Consultant"," government ser."
110," President"," any industry"
110," Public Health Service Officer"," government ser."
110," Import-Export Agent"," any industry"
110," Manager, Bus Transportation"," motor trans."
110," Literary Agent"," business ser."
110," Editor, Managing, Newspaper"," print & pub."
110," Coordinator, Skill-Training Program"," government ser."
110," Financial Aids Officer"," education"
110," Biology Specimen Technician"," profess. & kin."
110,Business Manager,any industry
111," Hazardous Waste Management, Specialist"," government ser."
111," Reservations Agent"," air trans."
111," Caseworker"," social ser."
111," Auditor"," profess. & kin."
111," Accountant Property"," profess. & kin."
111," Account Info Clk"," utilities"
111," Tumor Registrar"," medical ser."
111," Data Base Administrator"," profess. & kin."
111," Police Clerk"," government ser."
111," Tax Preparer"," business ser."
111," Systems Programmer"," profess. & kin."
111," Crew Scheduler"," air trans."
111," Archivist"," profess. & kin."
111," Bonding Agent"," business ser."
111," Personnel Recruiter"," profess. & kin."
111," Navigator"," air trans."
111," Market Research Analyst"," profess. & kin."
111," Copy Reader"," print. & pub."
111," Computer Support Analyst"," profess. & kin."
111," Business Representative, Labor Union"," profess. & kin."
111," Train Dispatcher"," r. r. trans."
111," Holter Scanning Technician"," medical ser."
111," Lawyer"," profess. & kin."
111," Alarm Signal Operator"," any industry"
111," Interviewer, Employment"," profess. & kin."
111," Auction Clerk"," retail trade"
111," Attendance Clerk"," education"
111," Court Clerk"," government ser."
111," Information And Referral Aide"," government ser."
111," Hospital Admitting Clerk"," medical ser."
111," Document Preparer, Microfilm"," business ser."
111," Copy Writer"," profess. & kin."
111," Industrial Engineer"," profess. & kin."
111," Social Worker"," social ser."
111," Statistician, Applied"," profess. & kin."
111," Editor, Newspaper"," print & pub."
111," Admissions Evaluator"," education"
111," Engineer, Power Distribution"," utilities"
111," Stress Analyst"," aircraft mfg."
111," Engineer, Electro-Optical"," profess. & kin."
111," Columnist/Commentator"," print. & pub."
111," Equal Opportunity Rep."," government ser."
111," Copyist"," any industry"
111," Clerk, Election"," government ser."
111," Forms Analyst"," profess. & kin."
111," Escrow Officer"," profess. & kin."
111," Manager, Personnel"," profess. & kin."
111," Switchboard Operator, Police District"," government ser."
111," Computer Security Specialist"," profess. & kin."
111," Clerk, Animal Hospital"," medical ser."
111," Examiner"," government ser."
111," Engineer, Biomedical"," profess. & kin."
111," Employee Relations Specialist"," profess. & kin."
111," Engineer, Nuclear"," profess. & kin."
111," Administrative Analyst"," any industry"
111," Clerk, Contract, Automobile"," retail trade"
111," Manager, Office"," any industry"
111," Clerk, Court"," government ser."
111," Proofreader, Production"," print & pub."
111," Systems Analyst"," profess. & kin."
111," Abstractor"," profess. & kin."
