Index,Body_Part,Occupational_Group,Impairment_Code,Variant
1,CARDIO-HEART,110,03.01--03.06,G
2,CARDIO-HEART,111,03.01--03.06,F
3,CARDIO-HEART,112,03.01--03.06,E
4,CARDIO-HEART,120,03.01--03.06,E
5,CARDIO-HEART,210,03.01--03.06,F
6,CARDIO-HEART,211,03.01--03.06,F
7,CARDIO-HEART,212,03.01--03.06,G
8,CARDIO-HEART,213,03.01--03.06,G
9,CARDIO-HEART,214,03.01--03.06,G
10,CARDIO-HEART,220,03.01--03.06,G
11,CARDIO-HEART,221,03.01--03.06,E
12,CARDIO-HEART,230,03.01--03.06,E
13,CARDIO-HEART,240,03.01--03.06,F
14,CARDIO-HEART,250,03.01--03.06,G
15,CARDIO-HEART,251,03.01--03.06,G
16,CARDIO-HEART,290,03.01--03.06,F
17,CARDIO-HEART,310,03.01--03.06,G
18,CARDIO-HEART,311,03.01--03.06,H
19,CARDIO-HEART,320,03.01--03.06,F
20,CARDIO-HEART,321,03.01--03.06,F
21,CARDIO-HEART,322,03.01--03.06,F
22,CARDIO-HEART,330,03.01--03.06,F
23,CARDIO-HEART,331,03.01--03.06,F
24,CARDIO-HEART,332,03.01--03.06,F
25,CARDIO-HEART,340,03.01--03.06,G
26,CARDIO-HEART,341,03.01--03.06,G
27,CARDIO-HEART,350,03.01--03.06,H
28,CARDIO-HEART,351,03.01--03.06,G
29,CARDIO-HEART,360,03.01--03.06,G
30,CARDIO-HEART,370,03.01--03.06,G
31,CARDIO-HEART,380,03.01--03.06,H
32,CARDIO-HEART,390,03.01--03.06,H
33,CARDIO-HEART,420,03.01--03.06,H
34,CARDIO-HEART,430,03.01--03.06,H
35,CARDIO-HEART,460,03.01--03.06,H
36,CARDIO-HEART,470,03.01--03.06,H
37,CARDIO-HEART,480,03.01--03.06,H
38,CARDIO-HEART,481,03.01--03.06,H
39,CARDIO-HEART,482,03.01--03.06,I
40,CARDIO-HEART,490,03.01--03.06,I
41,CARDIO-HEART,491,03.01--03.06,H
42,CARDIO-HEART,492,03.01--03.06,H
43,CARDIO-HEART,493,03.01--03.06,I
44,CARDIO-HEART,560,03.01--03.06,H
45,CARDIO-HEART,590,03.01--03.06,J
46,HYPERTENSION,110,04.01.00.00,G
47,HYPERTENSION,111,04.01.00.00,F
48,HYPERTENSION,112,04.01.00.00,E
49,HYPERTENSION,120,04.01.00.00,E
50,HYPERTENSION,210,04.01.00.00,F
51,HYPERTENSION,211,04.01.00.00,F
52,HYPERTENSION,212,04.01.00.00,G
53,HYPERTENSION,213,04.01.00.00,G
54,HYPERTENSION,214,04.01.00.00,G
